pickuplon,pickuplat, dropofflon,dropofflat,totalrides,averagedistance,totalpassenger,averageamount,averagesurcharge,noofpassengerspayingtip,averagetoll
-73.97372,40.72436,-73.97372,40.724358,1,3.1,1,650.0,0.0,1,0.0
-73.975685,40.737,-73.975685,40.737,1,3.1,1,650.0,0.0,1,0.0
-73.99493,40.760975,-73.99493,40.760975,1,0.0,3,540.0,0.0,1,0.0
-73.790115,40.64336,-72.31297,40.951286,1,90.8,1,529.8,0.0,1,0.0
-73.993,40.74796,-74.21611,40.582775,1,22.7,1,504.72,0.0,1,8.25
-73.9851,40.76894,-73.918976,40.741787,1,4.1,1,501.0,0.0,1,0.0
-74.04373,40.729904,-74.04374,40.72993,1,0.0,1,500.5,0.0,1,0.0
-73.70409,40.755375,-73.70283,40.759087,1,0.3,2,500.0,0.0,0,0.0
-74.00421,40.722733,-74.00384,40.722523,1,0.0,2,500.0,0.0,0,0.0
-73.9959,40.743874,-73.9959,40.743874,1,0.0,1,500.0,0.0,0,0.0
-73.95985,40.817276,-73.935715,40.80364,1,0.0,2,500.0,0.0,0,0.0
-73.84013,40.652542,-73.8401,40.652557,1,0.0,1,500.0,0.0,0,0.0
-73.90086,40.725693,-73.66981,40.692112,1,16.8,3,500.0,0.0,0,0.0
-73.78383,40.64634,-73.78483,40.645996,1,0.1,1,500.0,0.0,0,0.0
-73.66988,40.692142,-73.66988,40.692142,1,0.0,4,500.0,0.0,0,0.0
-73.73695,40.74122,-73.90157,40.761078,1,12.1,2,500.0,0.0,0,0.0
-73.72596,40.710552,-73.90046,40.745975,1,16.2,4,500.0,0.0,0,0.0
-73.91793,40.74654,-73.92238,40.747074,1,0.2,1,500.0,0.0,0,0.0
-73.92715,40.825916,-73.9399,40.820793,1,1.1,2,500.0,0.0,0,0.0
-73.81405,40.7387,-73.05597,40.816685,1,44.7,1,500.0,0.0,0,0.0
