pickuplon,pickuplat, dropofflon,dropofflat,totalrides,averagedistance,totalpassenger,averageamount,averagesurcharge,noofpassengerspayingtip,averagetoll
-73.93818,40.758545,-73.93771,40.758423,1,0.0,2,20.0,15.0,0,0.0
-73.93764,40.758427,-73.9378,40.75853,1,0.0,1,20.75,12.5,0,0.0
-73.96445,40.775658,-74.187965,40.693962,1,18.0,2,100.0,12.5,0,0.0
-73.9021,40.7639,-73.902016,40.763924,1,0.0,1,16.0,12.0,0,0.0
-74.00112,40.741432,-74.17788,40.690037,1,19.8,1,100.64,10.1,1,15.0
-73.937805,40.758385,-73.93778,40.758396,1,0.0,1,15.0,10.0,0,0.0
-73.83048,40.665462,-73.94923,40.621624,1,9.6,1,36.5,8.5,0,0.0
-73.97709,40.753143,-73.978294,40.7539,1,0.1,1,12.0,8.0,0,0.0
-73.98444,40.679913,-73.9818,40.679268,1,0.3,1,13.0,8.0,0,0.0
-73.863335,40.76964,-73.863335,40.76966,1,0.0,1,10.5,7.5,0,0.0
-73.93772,40.758392,-73.93773,40.758396,1,0.0,1,10.0,7.0,0,0.0
-73.801094,40.67191,-73.87107,40.77413,1,0.2,1,28.0,7.0,0,0.0
-73.937485,40.758278,-73.93744,40.758068,1,0.0,2,14.0,7.0,0,0.0
-74.00379,40.74306,-74.0039,40.74293,1,7.6,1,59.0,6.5,0,0.0
-74.04011,40.722168,-74.04011,40.72216,1,0.0,1,59.0,6.5,0,0.0
-74.04011,40.72217,-74.04011,40.722176,1,0.0,1,59.0,6.5,0,0.0
-74.04011,40.722168,-74.04011,40.72217,1,0.0,1,59.0,6.5,0,0.0
-74.04011,40.72217,-74.04011,40.72217,1,0.0,1,59.0,6.5,0,0.0
-74.040085,40.722176,-74.040085,40.722187,1,0.0,1,59.0,6.5,0,0.0
-74.04045,40.72528,-74.04047,40.72517,1,0.2,1,59.0,6.5,0,0.0
