pickuplon,pickuplat, dropofflon,dropofflat,totalrides,averagedistance,totalpassenger,averageamount,averagesurcharge,noofpassengerspayingtip,averagetoll
-74.006546,40.737305,-74.17759,40.690575,1,20.2,3,92.0,0.0,0,20.0
-74.00524,40.871803,-74.00524,40.87182,1,18.6,1,150.0,0.0,1,20.0
-74.00542,40.727123,-74.00542,40.727123,1,0.0,1,42.0,1.0,1,20.0
-73.99265,40.74364,-74.181526,40.687737,1,17.3,1,94.0,0.0,1,20.0
-73.99224,40.740395,-73.95096,40.787685,1,4.4,1,25.0,0.5,1,20.0
-73.991974,40.743816,-74.18321,40.688,1,17.1,3,90.0,0.0,0,20.0
-73.99198,40.749146,-74.1826,40.687756,1,18.8,1,88.0,0.0,0,20.0
-73.9915,40.74597,-74.17714,40.69174,1,16.26,5,99.3,0.0,1,20.0
-73.99138,40.75011,-74.122765,40.40854,1,47.6,1,265.5,0.0,0,20.0
-73.991264,40.744823,-74.17709,40.69495,1,17.73,1,87.0,0.0,0,20.0
-73.99108,40.727757,-74.18357,40.688293,1,16.0,2,97.8,0.0,1,20.0
-73.981865,40.751244,-74.17699,40.694782,1,16.9,1,92.0,0.0,1,20.0
-73.98174,40.763515,-74.18268,40.68778,1,16.9,1,94.0,0.0,1,20.0
-73.994514,40.73647,-74.3669,40.577557,1,34.7,1,180.0,0.0,1,20.0
-73.9937,40.747246,-74.04579,40.72353,1,4.8,1,70.0,0.0,0,20.0
-73.99398,40.750145,-74.66199,40.854576,1,46.0,1,193.75,0.0,1,20.0
-73.99398,40.751064,-74.16368,40.58182,1,22.1,1,99.0,0.0,1,20.0
-73.99906,40.760803,-74.1774,40.69057,1,17.5,1,91.0,0.0,1,20.0
-73.96231,40.77021,-74.17726,40.695126,1,23.48,1,103.0,0.0,0,20.0
-73.95864,40.81615,-74.17733,40.695164,1,25.7,2,127.2,1.0,1,20.0
