pickuplon,pickuplat, dropofflon,dropofflat,totalrides,averagedistance,totalpassenger,averageamount,averagesurcharge,noofpassengerspayingtip,averagetoll
-73.954475,40.76383,-73.869804,40.772232,1,100.0,1,4.0,1.0,0,0.0
-73.98001,40.754948,-73.93079,40.81195,1,100.0,1,19.0,0.5,0,0.0
-73.965034,40.80134,-73.976234,40.788837,1,100.0,1,7.5,0.0,0,0.0
-74.00635,40.74139,-73.964096,40.79506,1,100.0,1,24.37,0.5,1,0.0
-74.00432,40.729706,-73.97753,40.779194,1,100.0,1,16.0,0.5,0,0.0
-73.985886,40.746605,-73.98044,40.74239,1,100.0,2,9.0,0.5,1,0.0
-73.99652,40.73221,-73.98453,40.756462,1,100.0,1,10.8,0.5,1,0.0
-73.97626,40.75336,-73.921814,40.743324,1,100.0,1,20.8,0.5,1,0.0
-73.9745,40.762306,-73.98958,40.69082,1,100.0,1,30.6,0.5,1,0.0
-73.84149,40.72012,-73.93987,40.75139,1,100.0,1,30.0,0.5,1,0.0
-73.8712,40.77388,-74.00535,40.725582,1,99.9,1,3.0,0.0,0,0.0
-73.98797,40.722504,-73.975525,40.789722,1,99.8,1,3.5,0.5,0,0.0
-74.00215,40.724648,-73.95259,40.637585,1,99.7,1,3.5,0.5,0,0.0
-73.87305,40.774113,-73.86975,40.772804,1,99.6,1,3.5,0.5,0,0.0
-73.98811,40.754528,-73.92804,40.865665,1,99.5,1,3.5,0.5,0,0.0
-73.94808,40.78298,-73.91155,40.863052,1,99.3,1,3.0,0.0,0,0.0
-73.86408,40.77012,-73.96806,40.684277,1,99.3,1,3.0,0.0,0,0.0
-73.97775,40.7769,-73.86685,40.77093,1,99.2,1,8.8,1.0,0,4.8
-73.885185,40.772617,-73.98145,40.75941,1,99.2,1,3.0,0.0,0,0.0
-73.7885,40.64196,-73.96705,40.59396,1,99.2,1,55.0,0.0,1,0.0
