lat,lon,count
40,-73.962,1
40,-73.965,1
40,-73.967,1
40,-73.968,1
40,-73.969,1
40,-73.974,1
40,-73.977,1
40,-73.978,2
40,-73.99,1
40,-73.994,1
40.001,-74.033,1
40.001,-74.128,1
40.002,-74.017,1
40.002,-74.021,1
40.002,-74.047,1
40.002,-74.069,1
40.002,-74.114,1
40.002,-74.134,1
40.004,-74.012,1
40.004,-74.037,1
40.005,-74.059,1
40.005,-74.075,1
40.005,-74.108,1
40.006,-74.035,1
40.006,-74.036,2
40.006,-74.101,1
40.007,-73.817,1
40.007,-74.036,1
40.008,-73.952,1
40.008,-74.034,1
40.008,-74.048,1
40.009,-74.064,1
40.009,-74.106,1
40.01,-74.061,1
40.01,-74.07,1
40.011,-74.065,1
40.012,-74.046,1
40.013,-74.13,1
40.015,-74.046,1
40.015,-74.518,1
40.016,-74.003,1
40.016,-74.083,1
40.017,-73.952,1
40.017,-73.959,1
40.017,-73.965,1
40.017,-73.967,1
40.017,-73.984,1
40.017,-74.005,1
40.017,-74.038,1
40.017,-74.072,1
40.02,-74.066,1
40.025,-74.119,1
40.026,-73.412,1
40.028,-73.677,1
40.03,-74.031,1
40.032,-74.092,1
40.033,-73.897,1
40.033,-73.965,1
40.033,-73.973,1
40.033,-73.974,1
40.033,-73.977,1
40.033,-73.982,1
40.033,-73.984,1
40.033,-73.985,1
40.033,-73.986,1
40.033,-73.989,2
40.033,-73.995,1
40.033,-74,1
40.033,-74.009,1
40.033,-74.016,1
40.034,-73.417,1
40.039,-74.111,1
40.04,-74.052,1
40.042,-74.784,2
40.042,-74.821,1
40.043,-74.044,1
40.043,-75.104,1
40.046,-73.424,1
40.046,-74.003,1
40.047,-74.116,1
40.05,-73.952,1
40.05,-73.959,1
40.05,-73.964,1
40.05,-73.977,1
40.05,-73.987,1
40.05,-74.004,1
40.05,-74.007,2
40.05,-74.01,1
40.05,-74.093,1
40.051,-74.76,1
40.052,-74.008,1
40.053,-74.119,1
40.054,-73.843,1
40.057,-74.034,1
40.057,-74.051,1
40.059,-73.366,1
40.06,-74.042,1
40.063,-74.124,1
40.064,-73.434,1
40.067,-73.93,1
40.067,-73.932,1
40.067,-73.955,1
40.067,-73.979,1
40.067,-73.997,1
40.067,-74.008,1
40.068,-74.043,1
40.069,-73.437,1
40.073,-73.843,4
40.078,-73.443,1
40.079,-73.317,1
40.079,-73.331,1
40.083,-73.955,1
40.083,-73.972,1
40.083,-73.974,1
40.083,-73.98,1
40.083,-73.981,1
40.083,-73.986,1
40.083,-73.99,1
40.086,-74.022,1
40.087,-73.449,1
40.094,-73.452,1
40.095,-73.5,1
40.095,-73.882,1
40.095,-74.146,1
40.095,-74.756,1
40.097,-72.912,1
40.1,-73.951,1
40.1,-73.959,1
40.1,-73.973,1
40.1,-73.974,1
40.1,-73.979,1
40.1,-73.999,1
40.1,-74.281,1
40.101,-74.038,1
40.103,-73.283,1
40.106,-73.46,1
40.107,-74.202,1
40.108,-73.833,1
40.11,-74.235,1
40.114,-73.788,1
40.117,-73.95,1
40.117,-73.965,1
40.117,-73.968,1
40.117,-73.978,1
40.117,-73.986,1
40.117,-74.004,1
40.117,-74.069,1
40.124,-74.148,1
40.125,-74.127,1
40.127,-74.962,1
40.128,-74.933,1
40.128,-74.939,1
40.129,-74.216,1
40.13,-73.359,1
40.133,-73.478,1
40.133,-73.974,1
40.133,-73.981,1
40.133,-73.982,1
40.133,-73.986,2
40.133,-73.997,1
40.133,-74,1
40.133,-74.008,1
40.135,-73.324,1
40.135,-73.797,1
40.135,-74.252,1
40.135,-74.257,1
40.136,-73.738,1
40.137,-74.265,1
40.141,-73.823,1
40.141,-74.256,1
40.141,-74.273,1
40.142,-73.733,1
40.142,-74.678,1
40.144,-73.734,1
40.144,-74.278,1
40.144,-74.44,1
40.145,-73.726,1
40.146,-73.791,1
40.148,-74.283,1
40.149,-73.628,1
40.149,-74.441,1
40.15,-73.719,1
40.15,-73.729,1
40.15,-73.942,1
40.15,-73.96,1
40.15,-73.97,1
40.15,-73.972,2
40.15,-73.977,1
40.15,-73.987,1
40.15,-74.483,1
40.153,-73.809,1
40.156,-74.297,1
40.158,-73.494,1
40.158,-73.795,1
40.159,-73.799,1
40.161,-73.809,1
40.161,-73.815,1
40.162,-73.586,1
40.162,-73.752,1
40.163,-73.799,1
40.163,-74.309,1
40.164,-73.578,1
40.166,-73.608,1
40.166,-73.623,1
40.167,-73.625,1
40.167,-73.936,1
40.167,-73.974,1
40.167,-73.988,1
40.167,-73.997,1
40.167,-74.074,1
40.168,-74.32,1
40.169,-73.383,4
40.171,-73.579,1
40.172,-73.643,1
40.172,-73.647,1
40.172,-73.773,1
40.173,-73.135,1
40.173,-73.59,1
40.173,-73.654,1
40.173,-73.66,1
40.174,-73.582,1
40.174,-73.72,1
40.177,-74.338,1
40.178,-73.564,1
40.179,-73.601,1
40.179,-73.953,1
40.18,-73.623,1
40.18,-74.027,1
40.18,-74.605,1
40.182,-73.624,1
40.183,-73.959,1
40.183,-73.969,1
40.183,-73.985,1
40.183,-73.997,2
40.183,-74.017,1
40.184,-73.72,1
40.187,-73.596,1
40.187,-73.6,1
40.187,-73.628,1
40.187,-73.631,1
40.188,-73.592,1
40.188,-73.598,1
40.188,-73.917,1
40.188,-73.962,1
40.189,-73.451,1
40.189,-73.573,1
40.189,-73.606,1
40.189,-73.656,1
40.19,-73.624,1
40.191,-73.599,1
40.191,-73.601,1
40.192,-73.601,1
40.193,-73.559,1
40.193,-73.613,1
40.193,-74.326,1
40.194,-73.555,1
40.194,-73.595,1
40.194,-73.596,1
40.195,-73.442,1
40.195,-73.541,1
40.196,-73.135,1
40.196,-73.614,1
40.196,-73.627,1
40.196,-73.65,1
40.196,-73.654,1
40.197,-73.907,1
40.198,-73.583,1
40.198,-73.621,1
40.198,-73.653,1
40.198,-74.774,1
40.199,-73.622,1
40.2,-73.549,1
40.2,-73.621,1
40.2,-73.771,1
40.2,-73.893,1
40.2,-73.942,1
40.2,-73.954,1
40.2,-73.959,1
40.2,-73.982,1
40.2,-73.984,1
40.2,-73.986,1
40.2,-73.992,1
40.2,-74.002,1
40.2,-74.004,1
40.2,-74.013,1
40.2,-74.098,1
40.201,-73.522,1
40.201,-73.586,1
40.201,-73.634,1
40.202,-73.647,1
40.202,-73.671,1
40.202,-74.558,1
40.203,-73.626,1
40.205,-73.529,1
40.205,-73.62,1
40.205,-73.628,1
40.206,-73.513,1
40.206,-73.614,1
40.207,-73.434,1
40.207,-73.592,1
40.207,-73.672,1
40.208,-73.626,1
40.208,-73.64,1
40.208,-73.674,1
40.208,-74.705,1
40.209,-73.497,1
40.21,-73.686,1
40.21,-74.114,7
40.211,-73.624,1
40.212,-73.683,2
40.213,-73.122,1
40.214,-73.515,1
40.214,-73.598,1
40.214,-73.604,1
40.214,-73.619,1
40.214,-73.662,1
40.215,-74.384,1
40.216,-73.519,1
40.216,-73.613,1
40.216,-74.385,1
40.217,-73.676,1
40.217,-73.982,1
40.217,-73.983,2
40.217,-73.987,1
40.217,-73.994,1
40.218,-73.451,1
40.218,-74.753,2
40.219,-73.61,1
40.219,-73.798,1
40.219,-74.755,1
40.22,-73.515,1
40.22,-73.527,1
40.22,-73.618,1
40.221,-73.609,1
40.221,-73.619,1
40.222,-73.622,1
40.222,-73.793,1
40.223,-73.511,1
40.223,-73.689,1
40.225,-73.625,1
40.226,-74.223,1
40.226,-74.224,5
40.226,-74.461,1
40.227,-74.66,1
40.228,-73.602,1
40.228,-74.093,1
40.229,-73.617,1
40.229,-74.471,1
40.23,-73.631,1
40.231,-73.787,1
40.233,-73.783,1
40.233,-73.954,1
40.233,-73.983,1
40.233,-73.985,1
40.233,-74,1
40.234,-73.72,1
40.234,-74.103,1
40.235,-73.505,3
40.236,-73.508,1
40.236,-74.124,1
40.236,-74.67,1
40.237,-74.063,1
40.238,-73.596,1
40.239,-73.627,1
40.239,-75.354,1
40.24,-73.493,1
40.24,-74.029,1
40.24,-74.04,4
40.24,-74.343,2
40.241,-73.611,1
40.242,-73.631,1
40.244,-73.585,1
40.246,-74.157,1
40.246,-74.31,1
40.247,-73.168,1
40.247,-74.639,1
40.248,-73.495,1
40.249,-73.634,1
40.25,-73.592,1
40.25,-73.864,1
40.25,-73.953,1
40.25,-73.988,1
40.25,-73.989,1
40.25,-73.99,1
40.25,-73.991,1
40.25,-74.001,1
40.252,-74.322,1
40.252,-74.536,1
40.253,-74.705,1
40.254,-74.089,1
40.254,-74.705,1
40.255,-74.623,1
40.256,-73.498,1
40.256,-73.772,1
40.256,-74.703,1
40.257,-73.877,3
40.257,-73.954,1
40.257,-74.239,1
40.258,-73.623,1
40.258,-74.337,1
40.258,-74.613,1
40.259,-73.975,1
40.259,-74.274,1
40.26,-73.574,1
40.26,-73.577,1
40.26,-74.476,1
40.261,-73.747,1
40.261,-73.749,1
40.261,-74.026,2
40.261,-74.603,1
40.262,-74.056,1
40.263,-73.579,1
40.263,-73.755,1
40.265,-73.593,1
40.266,-73.78,1
40.267,-73.605,1
40.267,-73.743,1
40.267,-73.953,1
40.267,-73.969,1
40.267,-73.99,1
40.267,-73.991,1
40.267,-73.992,1
40.267,-73.995,1
40.267,-73.997,1
40.267,-74.014,1
40.269,-73.58,1
40.269,-73.648,1
40.269,-73.658,1
40.269,-74.5,1
40.27,-73.52,1
40.27,-74.051,1
40.27,-74.508,2
40.271,-73.645,1
40.271,-73.737,1
40.271,-74.321,1
40.272,-73.575,1
40.272,-73.593,1
40.273,-73.544,1
40.273,-73.572,1
40.274,-73.531,1
40.274,-73.625,1
40.274,-73.63,1
40.274,-74.276,1
40.275,-73.571,1
40.275,-73.582,1
40.275,-73.733,1
40.275,-74.044,1
40.275,-74.308,1
40.275,-74.502,1
40.276,-72.979,1
40.276,-73.556,1
40.276,-73.7,1
40.276,-73.71,1
40.276,-73.789,1
40.276,-74.044,2
40.276,-74.491,1
40.276,-74.527,1
40.276,-74.674,1
40.277,-74.036,1
40.278,-73.521,1
40.278,-73.522,1
40.278,-73.573,1
40.278,-73.578,1
40.278,-73.585,1
40.278,-74.039,1
40.279,-73.568,1
40.279,-73.574,1
40.279,-73.63,1
40.28,-73.456,1
40.28,-73.568,1
40.281,-73.456,1
40.281,-73.549,1
40.281,-73.567,1
40.281,-74.003,1
40.282,-73.522,1
40.282,-73.581,1
40.282,-73.609,1
40.282,-73.616,1
40.282,-73.979,1
40.282,-74.046,1
40.283,-73.567,1
40.283,-73.621,1
40.283,-73.776,1
40.283,-73.925,1
40.283,-73.953,1
40.283,-73.963,1
40.283,-73.97,1
40.283,-73.971,1
40.283,-73.972,1
40.283,-73.987,1
40.283,-74,2
40.283,-74.006,1
40.283,-74.099,1
40.283,-74.498,1
40.283,-74.573,1
40.284,-73.571,1
40.284,-74.05,1
40.284,-74.086,1
40.284,-74.518,1
40.284,-74.992,1
40.285,-73.519,1
40.285,-73.562,1
40.285,-73.739,1
40.285,-73.853,1
40.285,-75.203,9
40.286,-73.545,1
40.286,-73.556,1
40.286,-73.59,1
40.286,-73.778,2
40.287,-73.729,1
40.287,-74.07,1
40.287,-74.125,1
40.288,-73.86,1
40.288,-74.069,1
40.288,-74.297,1
40.288,-74.488,1
40.289,-73.627,1
40.29,-73.622,1
40.29,-74.075,1
40.29,-74.342,1
40.291,-73.283,1
40.291,-73.293,1
40.291,-73.567,1
40.291,-73.987,1
40.291,-74.161,1
40.291,-74.534,2
40.292,-73.591,1
40.292,-73.667,1
40.293,-73.869,1
40.293,-74.025,1
40.294,-74.083,1
40.294,-74.386,1
40.294,-74.486,1
40.295,-72.984,1
40.295,-73.01,1
40.295,-73.053,1
40.295,-73.546,1
40.295,-73.549,1
40.295,-73.634,1
40.296,-73.005,1
40.296,-73.551,1
40.296,-73.876,1
40.297,-73.583,1
40.297,-73.723,1
40.297,-73.955,1
40.297,-73.988,1
40.297,-74.107,1
40.298,-72.988,1
40.298,-73.543,1
40.298,-73.633,1
40.299,-72.993,1
40.299,-73.68,1
40.299,-73.73,1
40.299,-73.789,1
40.299,-74.132,1
40.299,-74.612,1
40.3,-73.542,1
40.3,-73.731,1
40.3,-73.949,2
40.3,-73.97,2
40.3,-73.98,1
40.3,-73.985,1
40.3,-73.99,1
40.3,-74.006,1
40.3,-74.009,1
40.3,-74.199,2
40.301,-73.009,1
40.301,-73.654,1
40.301,-73.716,1
40.301,-73.946,1
40.302,-73.521,1
40.302,-73.704,1
40.302,-73.898,1
40.302,-73.996,1
40.302,-74.488,1
40.303,-73.267,1
40.303,-73.547,1
40.303,-73.667,1
40.303,-73.68,1
40.303,-74.384,1
40.304,-73.001,1
40.304,-73.547,1
40.304,-73.568,1
40.304,-73.664,1
40.304,-73.905,1
40.304,-73.936,1
40.305,-73.532,1
40.306,-73.097,1
40.306,-73.563,1
40.306,-73.928,1
40.307,-73.161,1
40.307,-73.537,1
40.307,-73.575,1
40.307,-73.579,1
40.307,-73.69,1
40.307,-73.921,1
40.307,-74.382,1
40.307,-74.642,2
40.308,-73.037,1
40.308,-73.544,1
40.308,-73.545,1
40.308,-73.573,1
40.308,-74.136,1
40.308,-74.146,1
40.308,-74.363,1
40.308,-74.642,2
40.309,-73.006,1
40.309,-73.129,1
40.309,-73.582,1
40.309,-73.711,1
40.309,-74.643,1
40.31,-73.114,1
40.31,-73.152,1
40.31,-73.529,1
40.31,-73.89,1
40.31,-74.235,1
40.311,-73.316,1
40.311,-73.553,1
40.311,-73.572,1
40.311,-73.611,1
40.311,-73.687,1
40.311,-73.716,1
40.311,-73.719,1
40.311,-74.482,1
40.311,-74.632,1
40.312,-73.008,1
40.312,-73.125,1
40.312,-73.573,2
40.313,-73.009,1
40.313,-73.509,1
40.313,-73.534,1
40.313,-74.079,1
40.314,-73.056,1
40.314,-73.075,1
40.314,-73.578,1
40.314,-73.684,1
40.314,-73.708,1
40.314,-74.48,1
40.314,-74.604,1
40.315,-73.098,1
40.315,-73.549,1
40.315,-73.692,1
40.315,-74.623,1
40.315,-74.628,1
40.315,-74.639,1
40.316,-73.055,1
40.316,-73.105,1
40.316,-74.137,1
40.316,-74.321,1
40.316,-74.379,1
40.316,-74.625,1
40.316,-74.659,1
40.317,-73.033,1
40.317,-73.037,1
40.317,-73.563,1
40.317,-73.715,1
40.317,-73.97,1
40.317,-73.972,1
40.317,-73.979,1
40.317,-73.99,1
40.317,-73.995,1
40.317,-74,1
40.318,-73.522,1
40.318,-73.575,1
40.318,-74.128,1
40.318,-74.307,1
40.318,-74.622,1
40.318,-74.623,1
40.318,-74.66,1
40.319,-74.116,1
40.319,-74.473,1
40.319,-74.622,1
40.32,-73.028,1
40.32,-73.515,1
40.321,-73.007,1
40.321,-73.08,1
40.321,-73.106,1
40.321,-74.066,1
40.321,-74.399,2
40.321,-74.47,1
40.322,-73.675,1
40.322,-74.121,1
40.322,-74.331,1
40.323,-73.04,1
40.323,-73.059,1
40.323,-74.013,1
40.323,-74.375,1
40.324,-73.023,1
40.324,-73.106,1
40.324,-73.151,1
40.324,-74.131,1
40.324,-74.28,1
40.324,-74.645,1
40.325,-73.088,1
40.325,-73.096,1
40.325,-73.616,1
40.325,-73.76,1
40.325,-74.135,1
40.325,-74.136,1
40.325,-74.317,1
40.326,-73.029,1
40.326,-74.039,1
40.327,-73.098,1
40.327,-73.568,1
40.327,-73.593,1
40.327,-74.462,1
40.328,-73.715,1
40.328,-73.879,1
40.328,-74.556,1
40.328,-74.564,1
40.329,-73.618,1
40.329,-73.625,1
40.329,-74.053,1
40.329,-74.555,1
40.33,-73.515,1
40.33,-74.106,1
40.33,-74.483,3
40.33,-74.593,1
40.331,-73.112,1
40.331,-73.58,1
40.331,-73.61,1
40.331,-73.838,1
40.331,-74.56,1
40.331,-74.57,1
40.331,-74.679,1
40.332,-73.609,1
40.332,-73.621,2
40.332,-74.373,1
40.332,-74.478,1
40.333,-73.579,1
40.333,-73.619,1
40.333,-73.859,1
40.333,-73.944,1
40.333,-73.984,1
40.333,-74.003,1
40.333,-74.158,1
40.333,-74.191,1
40.333,-74.324,1
40.333,-74.559,1
40.334,-74.259,1
40.334,-74.591,1
40.334,-74.663,1
40.335,-73.035,1
40.335,-73.621,1
40.335,-74.093,1
40.335,-74.376,1
40.335,-74.564,1
40.336,-73.034,1
40.336,-73.514,1
40.336,-73.615,1
40.336,-74.093,1
40.336,-74.111,1
40.337,-73.393,1
40.337,-73.591,1
40.337,-73.596,1
40.337,-73.608,1
40.337,-73.614,1
40.337,-74.097,1
40.337,-74.147,1
40.338,-73.029,1
40.338,-73.03,1
40.338,-74.064,1
40.339,-73.614,1
40.339,-74.321,1
40.339,-74.405,1
40.339,-74.458,1
40.34,-73.014,1
40.34,-73.031,1
40.34,-73.614,1
40.34,-73.617,1
40.34,-74.146,1
40.34,-74.304,1
40.341,-73.616,1
40.341,-73.62,1
40.341,-74.082,1
40.341,-74.148,1
40.341,-74.149,1
40.341,-74.328,1
40.342,-73.029,1
40.342,-73.577,1
40.342,-73.633,1
40.342,-73.666,1
40.342,-74.467,1
40.342,-74.711,1
40.343,-73.023,1
40.343,-73.582,1
40.343,-74.107,1
40.343,-74.383,1
40.343,-74.626,1
40.344,-73.027,1
40.344,-73.574,1
40.344,-73.617,1
40.344,-73.619,1
40.344,-74.034,1
40.344,-74.655,1
40.344,-74.66,1
40.345,-73.091,1
40.345,-73.659,1
40.345,-74.151,1
40.345,-74.37,1
40.345,-74.478,1
40.346,-73.168,1
40.346,-74.016,1
40.346,-74.412,1
40.346,-74.597,1
40.347,-73.031,1
40.347,-73.571,1
40.347,-73.696,1
40.347,-74.047,1
40.347,-74.073,2
40.347,-74.326,1
40.348,-73.087,1
40.348,-73.86,2
40.348,-73.882,1
40.348,-74.055,1
40.348,-74.663,1
40.349,-73.861,1
40.349,-74.05,1
40.349,-74.198,1
40.349,-74.215,1
40.349,-74.498,2
40.349,-74.636,1
40.349,-74.662,1
40.35,-73.017,1
40.35,-73.105,1
40.35,-73.164,1
40.35,-73.168,1
40.35,-73.866,1
40.35,-73.959,1
40.35,-73.964,1
40.35,-73.976,2
40.35,-73.987,1
40.35,-73.99,1
40.35,-73.991,2
40.35,-74.004,1
40.35,-74.006,1
40.35,-74.366,1
40.35,-74.498,2
40.35,-74.664,1
40.35,-74.705,1
40.351,-73.108,1
40.351,-73.162,1
40.351,-74.383,1
40.351,-74.622,3
40.351,-74.661,1
40.352,-74.074,1
40.352,-74.188,1
40.352,-74.322,1
40.353,-73.194,1
40.353,-73.561,1
40.353,-74.462,1
40.354,-73.157,1
40.354,-73.57,2
40.354,-73.612,1
40.354,-73.938,1
40.354,-73.948,1
40.355,-73.636,1
40.355,-73.827,1
40.355,-73.958,1
40.355,-74.228,1
40.355,-74.599,2
40.356,-73.214,1
40.356,-73.611,1
40.356,-74.039,1
40.356,-74.612,3
40.357,-73.164,1
40.357,-73.692,1
40.357,-73.934,1
40.357,-74.385,1
40.358,-73.097,1
40.358,-73.611,1
40.359,-73.13,1
40.359,-73.156,1
40.359,-73.567,1
40.359,-73.599,1
40.359,-73.661,1
40.359,-74.086,1
40.359,-74.246,2
40.359,-74.31,1
40.359,-74.42,1
40.359,-74.434,1
40.36,-73.154,1
40.36,-73.922,1
40.36,-74.007,1
40.36,-74.174,1
40.36,-74.719,1
40.361,-74.169,1
40.362,-73.157,1
40.362,-73.634,1
40.362,-73.787,22
40.362,-74.159,1
40.362,-74.443,1
40.362,-74.595,1
40.363,-73.172,1
40.363,-73.684,1
40.363,-73.978,1
40.363,-74.074,1
40.364,-73.171,1
40.364,-74.161,1
40.364,-74.414,1
40.364,-74.598,1
40.364,-74.599,1
40.365,-73.082,1
40.365,-73.13,1
40.365,-73.839,1
40.365,-73.888,1
40.365,-74.152,1
40.365,-74.241,1
40.365,-74.294,1
40.365,-74.425,1
40.365,-74.596,1
40.366,-73.088,1
40.366,-73.092,2
40.366,-73.097,1
40.366,-73.621,1
40.366,-74.295,1
40.366,-74.316,1
40.366,-74.385,1
40.366,-74.597,4
40.367,-73.652,1
40.367,-73.658,1
40.367,-73.675,1
40.367,-73.95,1
40.367,-73.951,1
40.367,-73.978,1
40.367,-73.983,1
40.367,-73.986,1
40.367,-74.003,1
40.367,-74.166,1
40.367,-74.319,1
40.367,-74.449,1
40.368,-73.102,1
40.368,-73.184,1
40.368,-73.875,1
40.368,-73.908,1
40.368,-74.179,1
40.369,-73.127,1
40.369,-73.877,1
40.369,-74.279,1
40.369,-74.418,1
40.37,-74.125,1
40.37,-74.398,2
40.371,-73.155,1
40.371,-73.901,1
40.371,-74.268,1
40.372,-73.13,1
40.372,-73.609,1
40.372,-74.465,1
40.373,-73.605,1
40.373,-74.263,1
40.373,-74.36,1
40.373,-74.414,1
40.374,-73.597,1
40.374,-73.61,1
40.374,-73.713,2
40.374,-74.116,1
40.374,-74.384,1
40.374,-74.577,1
40.375,-73.136,1
40.375,-73.6,1
40.375,-73.603,1
40.375,-73.833,1
40.375,-74.072,1
40.375,-74.251,1
40.375,-74.259,1
40.375,-75.25,1
40.376,-74.248,1
40.377,-73.828,7
40.377,-74.272,1
40.377,-74.405,1
40.378,-73.09,1
40.378,-73.095,1
40.378,-74.118,1
40.378,-74.235,1
40.379,-73.186,1
40.379,-73.202,1
40.379,-74.108,3
40.379,-74.259,1
40.379,-74.309,1
40.379,-74.401,1
40.379,-74.58,1
40.38,-73.196,1
40.38,-73.664,1
40.38,-73.939,1
40.38,-74.175,1
40.38,-74.195,2
40.381,-74.229,1
40.381,-74.366,1
40.382,-73.175,1
40.382,-73.557,1
40.382,-73.678,1
40.382,-73.864,1
40.382,-73.899,1
40.382,-73.919,1
40.382,-74.093,1
40.382,-74.116,1
40.383,-73.084,1
40.383,-73.171,1
40.383,-73.186,1
40.383,-73.518,1
40.383,-73.947,1
40.383,-73.952,1
40.383,-73.971,1
40.383,-73.979,2
40.383,-73.98,2
40.383,-73.989,1
40.383,-73.99,2
40.383,-73.995,1
40.383,-74.383,1
40.383,-74.402,1
40.384,-73.609,1
40.384,-73.926,1
40.384,-74.306,1
40.384,-74.417,1
40.385,-73.071,1
40.385,-73.197,1
40.385,-74.149,1
40.385,-74.182,1
40.385,-74.183,1
40.385,-74.28,1
40.386,-73.651,1
40.386,-73.733,1
40.386,-74.087,1
40.386,-74.172,1
40.386,-74.218,1
40.386,-74.234,1
40.386,-74.307,1
40.386,-74.321,1
40.387,-73.075,1
40.387,-73.732,1
40.387,-74.401,1
40.388,-73.929,1
40.388,-73.943,1
40.389,-73.394,1
40.389,-74.36,1
40.39,-73.983,2
40.39,-74.151,1
40.39,-74.171,1
40.39,-74.188,1
40.391,-73.081,1
40.391,-74.014,1
40.391,-74.171,1
40.391,-74.184,1
40.391,-74.189,1
40.392,-73.191,1
40.392,-73.206,1
40.392,-73.745,1
40.392,-73.944,1
40.392,-74.001,1
40.392,-74.266,2
