hour,rides,surcharge,total_amount,passenger_count,totalRidesWithSurcharge,percentRidesWithSurcharge,percent_surcharge,average_surcharge
0,531351,261215.0,7914687.5,939152,522320,98.0,3.55,0.5
1,401367,198320.5,5858701.5,708451,396542,98.0,3.56,0.5
2,307314,152211.0,4490361.5,544416,304354,99.0,3.52,0.5
3,227515,112278.5,3447235.5,403837,224506,98.0,3.42,0.5
4,164906,80060.0,2818677.5,288566,160068,97.0,3.15,0.5
5,143100,63442.91,2785408.5,231909,126848,88.0,3.12,0.5
6,304642,842.55,4463756.0,473529,1647,0.0,3.7,0.51
7,546978,226.0,7330190.5,872823,419,0.0,4.18,0.54
8,694634,288.5,9210118.0,1129594,497,0.0,4.04,0.58
9,700827,276.0,9166310.0,1140971,496,0.0,4.43,0.56
10,658936,252.0,8593756.0,1093740,468,0.0,3.95,0.54
11,675140,261.0,8787340.0,1129993,477,0.0,4.29,0.55
12,723171,272.58002,9381246.0,1215786,503,0.0,4.33,0.54
13,721202,276.52,9708027.0,1217739,510,0.0,4.17,0.54
14,757622,357.0,1.0644528E7,1284480,587,0.0,4.64,0.61
15,743113,12459.65,1.0497802E7,1275350,12696,1.0,7.51,0.98
16,647966,420342.5,9336332.0,1113630,420569,64.0,7.49,1.0
17,767070,524869.3,1.0823691E7,1307276,525093,68.0,7.43,1.0
18,934554,664511.3,1.2761338E7,1589948,664848,71.0,7.54,1.0
19,941651,676239.8,1.269571E7,1607862,688307,73.0,7.52,0.98
20,866831,427642.1,1.1947416E7,1482131,851052,98.0,3.88,0.5
21,833133,409661.9,1.1781235E7,1436103,819141,98.0,3.75,0.5
22,806671,396739.0,1.1666172E7,1406956,793286,98.0,3.66,0.5
23,677307,332789.3,1.0080044E7,1188021,665435,98.0,3.56,0.5
