lat,lon,count
40,-73.967,1
40,-73.976,1
40,-73.979,1
40,-73.983,2
40,-73.991,1
40,-73.992,1
40.001,-74.072,1
40.001,-74.08,1
40.002,-74.14,1
40.003,-74.009,1
40.003,-74.034,1
40.003,-74.058,1
40.003,-74.114,1
40.004,-74.013,1
40.004,-74.048,1
40.004,-74.106,1
40.005,-74.034,1
40.005,-74.046,1
40.005,-74.129,1
40.007,-74.036,1
40.007,-74.066,1
40.007,-74.102,1
40.008,-74.065,1
40.009,-74.035,1
40.009,-74.04,1
40.009,-74.047,2
40.009,-74.056,1
40.01,-74.122,1
40.011,-73.964,1
40.011,-74.046,1
40.011,-74.105,1
40.013,-73.821,1
40.013,-74.114,1
40.014,-74.059,1
40.014,-74.064,1
40.015,-74.08,1
40.016,-74.04,1
40.016,-74.067,1
40.017,-73.949,1
40.017,-73.976,1
40.017,-73.977,1
40.017,-73.982,1
40.017,-73.991,1
40.017,-74.006,1
40.017,-74.037,1
40.017,-74.083,1
40.021,-73.408,1
40.022,-74.117,1
40.024,-74.065,1
40.024,-74.486,1
40.03,-74.045,1
40.033,-73.962,1
40.033,-73.964,1
40.033,-73.967,1
40.033,-73.978,1
40.033,-73.979,1
40.033,-73.982,1
40.033,-73.984,1
40.033,-73.986,1
40.033,-73.987,1
40.033,-73.998,1
40.033,-73.999,1
40.033,-74,1
40.033,-74.013,1
40.034,-73.417,1
40.042,-74.784,1
40.042,-74.821,2
40.043,-73.422,1
40.044,-74.113,1
40.045,-74.089,1
40.046,-74.032,1
40.048,-74.118,1
40.05,-73.977,1
40.05,-73.98,1
40.05,-73.982,1
40.05,-73.985,1
40.05,-73.99,1
40.05,-73.991,1
40.05,-73.992,1
40.05,-74.002,1
40.05,-74.006,1
40.05,-74.016,1
40.051,-74.76,1
40.052,-74.12,1
40.053,-74.036,1
40.054,-73.429,1
40.054,-74.047,1
40.059,-74.051,1
40.06,-74.041,1
40.063,-74.095,1
40.063,-74.124,1
40.067,-73.953,1
40.067,-73.97,1
40.067,-73.977,1
40.067,-74.003,1
40.069,-73.437,1
40.073,-73.843,3
40.075,-73.441,1
40.075,-73.911,1
40.079,-73.331,1
40.082,-74.028,1
40.083,-73.868,1
40.083,-73.991,1
40.085,-73.447,1
40.093,-73.452,1
40.094,-74.762,1
40.096,-74.527,1
40.1,-73.956,1
40.1,-73.966,1
40.1,-73.979,1
40.1,-73.988,1
40.1,-73.999,2
40.1,-74.767,1
40.101,-73.849,1
40.102,-73.632,1
40.103,-73.283,1
40.104,-73.459,1
40.107,-73.834,1
40.11,-74.235,1
40.117,-73.955,1
40.117,-73.964,1
40.117,-73.97,1
40.117,-73.972,2
40.117,-73.974,1
40.117,-74.069,1
40.117,-74.952,1
40.118,-73.886,1
40.121,-74.962,1
40.128,-74.944,1
40.131,-73.477,1
40.133,-73.978,1
40.133,-73.981,1
40.133,-73.982,1
40.133,-73.986,1
40.133,-74.004,1
40.133,-74.006,1
40.135,-73.735,1
40.135,-74.257,1
40.136,-74.261,1
40.138,-73.798,1
40.139,-74.269,1
40.139,-74.681,1
40.141,-73.723,1
40.141,-73.824,1
40.141,-74.256,1
40.143,-73.791,1
40.144,-74.028,1
40.144,-74.278,1
40.145,-73.737,1
40.145,-74.28,1
40.146,-75.116,1
40.148,-73.787,1
40.149,-73.727,1
40.15,-73.488,1
40.15,-73.719,1
40.15,-73.952,1
40.15,-73.989,1
40.151,-73.73,1
40.151,-74.29,1
40.155,-73.739,1
40.157,-73.808,2
40.158,-73.351,1
40.159,-73.812,1
40.16,-73.799,1
40.16,-73.814,1
40.163,-73.629,1
40.163,-74.309,1
40.164,-73.756,1
40.165,-73.579,1
40.167,-73.622,1
40.167,-73.625,1
40.167,-73.97,1
40.167,-73.983,2
40.167,-73.997,1
40.167,-74,1
40.167,-74.013,1
40.167,-74.074,1
40.168,-73.793,1
40.168,-74.319,1
40.169,-73.383,5
40.171,-73.568,1
40.172,-73.627,1
40.173,-73.577,1
40.173,-73.644,1
40.173,-73.651,1
40.173,-73.705,1
40.174,-73.659,1
40.175,-73.589,1
40.175,-74.335,1
40.178,-73.564,1
40.179,-73.953,1
40.179,-74.618,1
40.18,-73.568,1
40.18,-73.6,1
40.18,-73.623,1
40.18,-74.605,1
