lat,lon,count
40.75,-73.991,160028
40.751,-73.991,137158
40.75,-73.995,121696
40.749,-73.992,118079
40.774,-73.871,76724
40.762,-73.979,75150
40.752,-73.978,74273
40.757,-73.99,73134
40.751,-73.99,69490
40.752,-73.977,65652
40.75,-73.992,64665
40.748,-73.989,64102
40.752,-73.99,63576
40.756,-73.991,62806
40.756,-73.975,62265
40.753,-73.979,60032
40.749,-73.991,58074
40.764,-73.973,57241
40.768,-73.982,56676
40.779,-73.954,56444
40.741,-74.005,56216
40.74,-74.006,54581
40.755,-73.984,52865
40.763,-73.974,52231
40.768,-73.862,50590
40.769,-73.982,50049
40.763,-73.972,49699
40.742,-74.004,49678
40.774,-73.873,49082
40.748,-73.985,47840
40.757,-73.974,45447
40.738,-73.988,45022
40.754,-73.978,44483
40.752,-73.976,44152
40.774,-73.982,44101
40.758,-73.989,43826
40.756,-73.973,43778
40.715,-74.014,43595
40.756,-73.983,43573
40.753,-73.98,43099
40.757,-73.972,42935
40.743,-73.993,42781
40.774,-73.964,42717
40.759,-73.985,42697
40.768,-73.956,42598
40.76,-73.972,42344
40.737,-73.989,42342
40.773,-73.982,42260
40.75,-73.979,42188
40.772,-73.982,42060
40.751,-73.975,41398
40.763,-73.97,40723
40.742,-73.985,40673
40.742,-74.005,40591
40.752,-73.975,40493
40.761,-73.98,40448
40.751,-73.978,40374
40.771,-73.982,40116
40.756,-73.979,40088
40.762,-73.971,40068
40.759,-73.977,40035
40.763,-73.982,39829
40.744,-73.992,39524
40.741,-74.007,39458
40.775,-73.963,39294
40.749,-73.988,39118
40.767,-73.954,39103
40.761,-73.971,39078
40.743,-74.004,38998
40.776,-73.956,38907
40.725,-73.997,38825
40.759,-73.973,38813
40.744,-73.984,38712
40.751,-73.974,38495
40.753,-73.978,38280
40.745,-73.976,38225
40.746,-73.978,37916
40.756,-73.987,37843
40.758,-73.986,37710
40.761,-73.987,37627
40.763,-73.978,37218
40.755,-73.98,36846
40.751,-73.976,36750
40.752,-73.98,36720
40.76,-73.981,36673
40.762,-73.972,36659
40.739,-73.983,36659
40.76,-73.976,36616
40.734,-74.003,36483
40.746,-73.994,36333
40.758,-73.985,36291
40.76,-73.985,36244
40.723,-73.999,35968
40.763,-73.968,35927
40.763,-73.979,35663
40.764,-73.981,35662
40.748,-74.004,35633
40.739,-73.987,35621
40.753,-73.975,35550
40.768,-73.861,35410
40.762,-73.97,35405
40.761,-73.984,35383
40.751,-73.979,35335
40.764,-73.977,35242
40.769,-73.985,35228
40.765,-73.98,35157
40.764,-73.969,34865
40.755,-73.991,34844
40.774,-73.872,34820
40.761,-73.969,34804
40.778,-73.955,34748
40.749,-73.984,34731
40.758,-73.973,34624
40.758,-73.982,34611
40.74,-74.005,34544
40.755,-73.975,34461
40.742,-73.981,34458
40.76,-73.984,34417
40.72,-74.01,34323
40.75,-73.988,34180
40.757,-73.983,34123
40.732,-73.985,34065
40.747,-73.99,34059
40.723,-73.989,34056
40.756,-73.974,34034
40.741,-73.994,33972
40.74,-73.995,33958
40.745,-73.991,33936
40.727,-73.992,33910
40.759,-73.981,33824
40.775,-73.982,33529
40.758,-73.978,33314
40.756,-73.968,33249
40.752,-73.993,33148
40.765,-73.966,33122
40.764,-73.971,33120
40.76,-73.988,33105
40.772,-73.959,33098
40.762,-73.986,32937
40.772,-73.953,32933
40.764,-73.974,32906
40.726,-73.992,32817
40.726,-74.006,32742
40.762,-73.975,32706
40.738,-73.992,32543
40.741,-73.989,32400
40.752,-73.982,32372
40.731,-73.986,32364
40.756,-73.99,32312
40.757,-73.97,32298
40.73,-73.987,32285
40.755,-73.974,32274
40.783,-73.957,32266
40.765,-73.973,31989
40.757,-73.967,31944
40.738,-73.981,31895
40.749,-73.98,31756
40.76,-73.974,31751
40.775,-73.957,31586
40.777,-73.955,31334
40.743,-73.98,31249
40.741,-73.988,31233
40.737,-73.993,31121
40.771,-73.96,31107
40.756,-73.971,31089
40.788,-73.975,31065
40.733,-74.003,31009
40.762,-73.968,30995
40.752,-73.994,30957
40.74,-73.991,30908
40.722,-73.987,30802
40.773,-73.952,30789
40.74,-73.986,30677
40.756,-73.986,30675
40.759,-74,30662
40.759,-73.986,30614
40.744,-73.988,30583
40.729,-74.005,30572
40.749,-73.989,30527
40.761,-73.967,30466
40.735,-73.991,30463
40.758,-73.975,30439
40.734,-73.999,30423
40.77,-73.982,30400
40.782,-73.958,30385
40.757,-73.986,30384
40.764,-73.967,30301
40.769,-73.955,30246
40.756,-74.002,30186
40.755,-73.976,30127
40.754,-73.985,30047
40.756,-73.976,30001
40.74,-74.002,29913
40.778,-73.982,29884
40.742,-73.975,29841
40.756,-73.972,29793
40.754,-73.992,29769
40.761,-73.975,29743
40.762,-73.983,29724
40.767,-73.979,29721
40.747,-73.981,29627
40.723,-73.988,29585
40.753,-73.989,29464
40.746,-73.98,29417
40.761,-73.999,29391
40.752,-73.979,29380
40.743,-73.984,29369
40.744,-73.986,29338
40.749,-73.976,29328
40.745,-73.987,29305
40.757,-73.976,29237
40.749,-73.987,29207
40.781,-73.98,29199
40.741,-73.979,29157
40.741,-73.986,29118
40.728,-73.988,29115
40.759,-73.975,29090
40.78,-73.957,29089
40.757,-73.975,29010
40.758,-73.974,28959
40.767,-73.983,28901
40.753,-73.973,28840
40.779,-73.962,28827
40.721,-74.01,28805
40.741,-73.99,28725
40.755,-73.973,28713
40.759,-73.984,28709
40.758,-73.977,28691
40.76,-73.995,28690
40.705,-74.017,28515
40.752,-73.974,28501
40.757,-73.982,28389
40.759,-73.992,28368
40.735,-73.99,28352
40.731,-73.992,28217
40.714,-74.014,28118
40.764,-73.959,28073
40.763,-73.983,28068
40.757,-73.978,28063
40.779,-73.958,28060
40.749,-74.003,28040
40.739,-73.99,28008
40.74,-73.987,28008
40.723,-73.998,27963
40.77,-73.96,27906
40.746,-73.982,27850
40.776,-73.976,27850
40.753,-73.986,27847
40.727,-74,27803
40.75,-73.972,27799
40.748,-73.99,27781
40.745,-73.983,27753
40.76,-73.98,27742
40.754,-73.974,27726
40.745,-73.981,27665
40.731,-73.989,27655
40.765,-73.981,27618
40.759,-73.996,27613
40.772,-73.983,27580
40.742,-73.989,27562
40.755,-73.971,27519
40.76,-73.968,27476
40.761,-73.961,27393
40.743,-73.992,27320
40.759,-73.972,27210
40.737,-73.997,27202
40.765,-73.958,27192
40.764,-73.956,26992
40.754,-73.979,26952
40.781,-73.959,26928
40.745,-73.979,26926
40.78,-73.956,26876
40.765,-73.964,26864
40.761,-73.983,26828
40.752,-73.986,26711
40.768,-73.981,26700
40.733,-74.006,26698
40.782,-73.956,26649
40.742,-73.997,26643
40.761,-74.003,26618
40.758,-73.969,26596
40.75,-73.987,26540
40.724,-73.998,26503
40.736,-74.001,26500
40.764,-73.985,26457
40.758,-73.993,26429
40.765,-73.972,26419
40.757,-73.989,26360
40.768,-73.962,26323
40.761,-73.973,26310
40.758,-73.963,26279
40.766,-73.982,26214
40.762,-73.984,26189
40.764,-73.978,26185
40.749,-73.996,26173
40.734,-74.002,26152
40.783,-73.978,26104
40.733,-73.996,26095
40.765,-73.974,26073
40.753,-73.981,26069
40.754,-73.972,26066
40.753,-73.97,26034
40.734,-73.99,26026
40.766,-73.983,25971
40.759,-73.971,25931
40.742,-73.983,25907
40.75,-73.983,25905
40.741,-74.006,25878
40.739,-73.992,25870
40.77,-73.961,25852
40.761,-73.985,25637
40.741,-74.008,25627
40.74,-73.99,25621
40.735,-73.983,25606
40.742,-73.99,25600
40.758,-73.971,25595
40.762,-73.973,25561
40.768,-73.985,25559
40.724,-73.985,25507
40.725,-73.992,25499
40.738,-73.984,25485
40.729,-74.001,25464
40.762,-73.98,25436
40.72,-73.988,25413
40.766,-73.98,25369
40.761,-73.97,25343
40.776,-73.95,25308
40.76,-73.97,25300
40.767,-73.957,25293
40.748,-73.988,25280
40.771,-73.964,25267
40.78,-73.953,25262
40.779,-73.982,25257
40.761,-73.991,25215
40.729,-73.987,25211
40.77,-73.988,25207
40.763,-73.973,25198
40.727,-73.989,25186
40.782,-73.972,25163
40.751,-73.994,25119
40.762,-73.982,25118
40.737,-74.001,25102
40.745,-73.995,25079
40.778,-73.952,25065
40.767,-73.967,25063
40.765,-73.984,25061
40.762,-73.966,25057
40.754,-73.981,25056
40.764,-73.976,25012
40.748,-73.981,24978
40.759,-73.976,24946
40.765,-73.955,24926
40.739,-73.991,24898
40.753,-73.993,24818
40.787,-73.954,24815
40.716,-74.009,24807
40.736,-73.994,24805
40.741,-73.998,24792
40.773,-73.958,24776
40.754,-73.977,24773
40.761,-73.998,24741
40.774,-73.981,24737
40.742,-73.978,24736
40.751,-73.987,24704
40.78,-73.962,24663
40.738,-73.99,24647
40.753,-73.985,24627
40.784,-73.95,24619
40.765,-73.982,24587
40.733,-73.987,24570
40.772,-73.95,24530
40.735,-74.002,24492
40.732,-73.988,24460
40.75,-73.975,24456
40.779,-73.96,24441
40.759,-73.989,24365
40.776,-73.982,24282
40.751,-73.983,24259
40.773,-73.955,24226
40.788,-73.954,24223
40.71,-74.015,24219
40.766,-73.955,24218
40.763,-73.985,24215
40.761,-73.976,24144
40.739,-74.006,24093
40.783,-73.951,24089
40.774,-73.96,24070
40.765,-73.975,24066
40.751,-73.971,24057
40.765,-73.968,24057
40.733,-73.991,24015
40.711,-74.009,23986
40.764,-73.962,23962
40.747,-73.986,23959
40.738,-74.008,23940
40.735,-73.994,23924
40.781,-73.952,23915
40.769,-73.961,23892
40.774,-73.989,23875
40.756,-73.998,23851
40.744,-73.983,23836
40.765,-73.977,23829
40.739,-73.985,23782
40.775,-73.954,23781
40.757,-73.973,23780
40.759,-73.988,23776
40.741,-73.982,23726
40.762,-73.99,23720
40.777,-73.979,23676
40.789,-73.953,23671
40.755,-73.977,23639
40.758,-73.972,23526
40.767,-73.982,23504
40.731,-73.983,23488
40.75,-73.981,23447
40.764,-73.954,23431
40.734,-73.991,23400
40.779,-73.948,23397
40.775,-73.959,23359
40.752,-73.971,23316
40.747,-73.982,23302
40.781,-73.981,23295
40.724,-73.993,23291
40.763,-73.981,23272
40.728,-74.002,23265
40.756,-73.977,23250
40.772,-73.965,23247
40.744,-73.996,23213
40.756,-73.982,23161
40.647,-73.79,23159
40.749,-73.978,23137
40.745,-73.985,23131
40.735,-73.98,23131
40.779,-73.981,23119
40.776,-73.962,23101
40.754,-73.988,23098
40.751,-73.981,23069
40.782,-73.979,23067
40.762,-73.969,23033
40.765,-73.979,22975
40.743,-73.982,22974
40.758,-73.976,22938
40.73,-73.99,22909
40.779,-73.955,22876
40.721,-73.994,22760
40.773,-73.87,22744
40.756,-73.984,22735
40.766,-73.981,22710
40.724,-73.991,22622
40.722,-74.01,22528
40.775,-73.961,22492
40.786,-73.976,22450
40.759,-73.982,22419
40.805,-73.939,22415
40.771,-73.954,22356
40.742,-74.007,22325
40.778,-73.961,22318
40.755,-73.972,22299
40.735,-73.992,22278
40.725,-73.998,22277
40.765,-73.97,22265
40.758,-73.97,22262
40.745,-73.989,22241
40.762,-73.96,22237
40.758,-74,22188
40.754,-73.976,22180
40.777,-73.949,22164
40.765,-73.988,22124
40.75,-73.977,22121
40.728,-74.005,22093
40.751,-73.98,22067
40.71,-74.01,22019
40.727,-74.006,22016
40.723,-73.983,21981
40.75,-74.003,21968
40.761,-73.979,21953
40.754,-73.98,21944
40.783,-73.955,21920
40.747,-73.985,21904
40.772,-73.979,21903
40.749,-73.973,21887
40.762,-73.974,21858
40.736,-73.989,21845
40.76,-73.983,21840
40.754,-73.969,21817
40.763,-73.986,21775
40.729,-73.988,21775
40.776,-73.947,21746
40.785,-73.956,21693
40.784,-73.978,21680
40.78,-73.947,21608
40.735,-74,21587
40.777,-73.982,21577
40.77,-73.984,21563
40.776,-73.96,21556
40.78,-73.981,21432
40.757,-73.964,21414
40.762,-73.978,21405
40.733,-74.004,21386
40.759,-73.97,21357
40.746,-73.984,21334
40.771,-73.866,21331
40.726,-73.984,21326
40.754,-73.966,21318
40.735,-73.986,21289
40.744,-73.98,21276
40.721,-73.987,21272
40.764,-73.982,21266
40.76,-73.975,21260
40.755,-73.979,21212
40.742,-74.001,21192
40.782,-73.952,21165
40.711,-74.016,21157
40.774,-73.957,21104
40.743,-74,21066
40.743,-73.985,20967
40.726,-73.997,20966
40.73,-73.993,20942
40.774,-73.962,20923
40.769,-73.989,20909
40.76,-73.991,20898
40.744,-74.007,20872
40.744,-74.003,20834
40.767,-73.963,20814
40.766,-73.957,20808
40.717,-74.013,20792
40.748,-73.993,20760
40.77,-73.954,20706
40.755,-73.992,20703
40.768,-73.953,20663
40.766,-73.954,20651
40.759,-73.979,20557
40.764,-73.972,20555
40.784,-73.98,20552
40.764,-73.965,20544
40.775,-73.951,20540
40.755,-73.978,20526
40.755,-73.985,20469
40.742,-73.993,20455
40.772,-73.963,20449
40.722,-73.997,20447
40.738,-74,20442
40.739,-73.98,20430
40.769,-73.988,20417
40.74,-73.989,20326
40.755,-73.987,20319
40.772,-73.956,20313
40.757,-73.998,20285
40.745,-73.992,20284
40.793,-73.973,20208
40.761,-73.974,20176
40.753,-73.967,20153
40.768,-73.986,20145
40.771,-73.957,20124
40.77,-73.865,20110
40.766,-73.976,20085
40.769,-73.958,20082
40.772,-73.961,20062
40.744,-74.006,20028
40.755,-73.995,19994
40.775,-73.948,19984
40.742,-73.994,19974
40.74,-73.982,19963
40.743,-73.996,19921
40.757,-73.993,19916
40.739,-73.999,19916
40.744,-73.989,19906
40.766,-73.963,19878
40.771,-73.951,19870
40.763,-73.975,19866
40.739,-73.996,19852
40.747,-74.001,19845
40.734,-73.981,19829
40.778,-73.959,19817
40.746,-73.991,19802
40.764,-73.979,19779
40.763,-73.96,19777
40.731,-74.001,19764
40.781,-73.976,19761
40.77,-73.958,19715
40.737,-73.99,19685
40.777,-73.989,19671
40.761,-73.972,19608
40.76,-73.973,19545
40.758,-74.001,19519
40.726,-73.99,19471
40.743,-73.977,19452
40.756,-73.988,19397
40.774,-73.958,19387
40.721,-73.988,19385
40.765,-73.978,19321
40.747,-73.977,19308
40.744,-73.995,19291
40.751,-73.977,19250
40.782,-73.981,19172
40.73,-74,19121
40.766,-73.968,19095
40.753,-73.974,19092
40.768,-73.966,19088
40.745,-73.977,19048
40.725,-73.995,19031
40.75,-73.974,19011
40.734,-73.993,18997
40.746,-73.988,18977
40.731,-74,18968
40.733,-73.99,18959
40.744,-73.974,18957
40.732,-74.001,18900
40.75,-73.984,18896
40.763,-73.993,18863
40.722,-73.986,18856
40.765,-73.976,18832
40.781,-73.957,18830
40.76,-73.987,18806
40.725,-74.002,18806
40.764,-73.97,18791
40.758,-73.99,18780
40.757,-73.977,18774
40.739,-73.977,18756
40.743,-73.987,18756
40.759,-73.965,18729
40.746,-73.972,18700
40.788,-73.977,18683
40.726,-73.998,18635
40.759,-73.969,18632
40.757,-73.988,18631
40.755,-73.988,18628
40.769,-73.959,18585
40.736,-73.998,18583
40.746,-73.979,18545
40.728,-73.991,18533
40.719,-73.989,18529
40.764,-73.996,18515
40.739,-73.988,18514
40.712,-74.008,18512
40.744,-73.979,18500
40.734,-74,18493
40.726,-73.996,18476
40.767,-73.969,18473
40.737,-73.982,18426
40.736,-73.993,18424
40.756,-73.989,18416
40.751,-73.972,18408
40.715,-74.013,18395
