latitude,longitude,count
40.751,-73.994,192077
40.75,-73.991,175596
40.75,-73.992,169810
40.774,-73.871,147514
40.769,-73.863,145727
40.774,-73.873,127459
40.757,-73.99,115625
40.752,-73.978,115094
40.756,-73.991,107819
40.645,-73.782,107168
40.768,-73.982,99045
40.74,-74.006,98034
40.749,-73.992,89332
40.751,-73.991,88260
40.645,-73.777,85668
40.764,-73.973,83046
40.75,-73.995,82558
40.756,-73.99,80767
40.738,-73.988,80541
40.752,-73.977,76209
40.74,-73.995,75937
40.742,-74.004,74560
40.753,-73.978,73832
40.737,-73.989,72539
40.769,-73.982,68897
40.762,-73.979,68797
40.757,-73.967,67649
40.763,-73.974,67594
40.746,-73.978,67320
40.748,-73.989,66329
40.774,-73.875,65804
40.763,-73.968,64371
40.773,-73.982,63891
40.779,-73.962,63579
40.762,-73.966,62560
40.771,-73.866,61815
40.737,-73.997,60760
40.741,-74.005,59783
40.726,-73.992,59775
40.757,-73.972,59495
40.743,-73.993,59374
40.744,-73.992,57026
40.758,-73.989,56976
40.732,-74.001,56942
40.734,-74.003,56137
40.763,-73.982,55815
40.748,-73.985,55433
40.744,-73.984,55409
40.775,-73.982,54836
40.762,-73.968,54513
40.722,-73.997,54301
40.756,-73.973,53723
40.762,-73.986,53629
40.756,-73.975,52962
40.752,-73.976,52617
40.748,-74.004,52589
40.745,-73.995,52475
40.779,-73.956,52296
40.744,-74.007,52049
40.739,-73.983,52037
40.755,-73.984,52011
40.734,-73.999,52010
40.779,-73.954,51855
40.761,-73.987,51686
40.763,-73.972,51356
40.756,-73.968,50972
40.772,-73.982,50748
40.74,-74.002,50652
40.711,-74.016,50480
40.77,-73.864,50434
40.774,-73.982,50428
40.739,-73.987,50406
40.767,-73.954,50353
40.746,-73.994,50050
40.759,-73.986,50030
40.749,-73.988,50027
40.735,-73.99,49884
40.735,-73.991,49609
40.761,-73.969,49452
40.743,-73.98,49310
40.756,-73.987,48930
40.741,-74.008,48896
40.733,-74,48838
40.741,-73.994,48819
40.745,-73.991,48635
40.752,-73.994,48438
40.774,-73.874,48252
40.728,-73.985,48080
40.771,-73.982,47941
40.734,-73.99,47896
40.775,-73.954,47862
40.779,-73.982,47794
40.759,-73.985,47672
